INDUSINDBK.csv,Reliance.csv,Bajaj_Finserv.csv,Axis.csv,Kotakbank.csv,TITAN.csv,TECHM.csv,LT.csv,MarutiSuzuki.csv,TATASTEEL.csv,Bharti_Airtel.csv,HDFC_BANK.csv,Nestle_India.csv,TCS.csv,ITC.csv,HEROMOTOCO.csv,icici.csv,ONGC.csv,HCL.csv,POWERGRID.csv,BAJAJ-AUTO.csv,HU.csv,Infosys.csv,ULTRACEMCO.csv,SBI.csv,Sun_Pharma.csv,NTPC.csv,MnM.csv,AsianPaints.csv,HDFC.csv
1181.9,2536.9,1430.35,939.9,1786.8,2538.1,986.15,2086.55,8383.05,115.65,796.0,1594.4,19885.25,3211.55,335.05,2742.55,870.1,147.35,1032.8,208.1,3642.25,2576.45,1448.5,6982.2,600.65,1008.7,169.0,1264.9,2978.4,2596.0
1215.85,2514.05,1468.85,949.55,1820.3,2562.1,1011.65,2087.35,8461.1,116.55,807.1,1599.7,19776.0,3311.1,333.45,2767.15,879.15,146.5,1044.1,208.8,3621.15,2583.7,1475.2,7007.0,605.1,1016.2,169.9,1252.65,3004.35,2621.6
1223.1,2518.55,1547.85,957.45,1820.75,2597.55,1020.3,2070.55,8422.8,115.75,811.8,1610.05,19519.9,3314.65,327.0,2709.3,899.1,146.25,1036.6,211.05,3552.85,2536.1,1494.8,7005.35,605.2,1004.1,166.6,1236.2,3016.85,2625.7
1240.95,2557.05,1563.0,962.3,1832.85,2613.6,1023.8,2088.95,8382.75,118.45,817.6,1639.35,19727.3,3311.35,331.1,2720.4,901.35,149.55,1041.35,215.6,3601.7,2542.05,1522.55,6993.6,612.4,1009.1,167.6,1249.3,3028.25,2664.7
1226.35,2575.9,1552.5,941.6,1825.05,2565.75,1009.5,2089.45,8403.3,119.25,813.5,1628.7,19561.55,3261.45,332.85,2715.9,902.45,150.45,1039.45,215.05,3573.95,2558.4,1524.0,7017.95,612.2,997.0,168.0,1262.85,3047.25,2652.4
1220.1,2547.2,1547.85,933.75,1827.25,2597.5,1016.4,2085.8,8394.6,112.65,806.1,1628.15,19606.0,3256.7,331.55,2738.85,890.85,146.75,1039.3,213.7,3616.05,2561.05,1508.2,6959.05,613.7,1001.4,166.45,1249.2,3087.9,2637.6
1231.15,2543.3,1511.7,934.55,1818.75,2553.25,1013.2,2110.9,8435.8,111.75,820.75,1641.3,19808.0,3268.75,335.35,2722.2,908.05,144.65,1044.45,215.75,3568.8,2568.05,1517.55,6982.2,611.8,1000.55,166.75,1262.35,3115.15,2675.4
1214.15,2544.45,1522.7,924.7,1820.1,2580.15,1016.25,2121.1,8421.05,110.0,803.8,1629.8,19843.6,3257.1,334.4,2696.6,898.95,143.9,1035.45,215.75,3586.85,2583.6,1510.15,7053.8,601.05,995.0,165.85,1252.35,3123.7,2671.3
1202.35,2544.7,1537.7,932.2,1820.9,2503.55,1009.55,2124.1,8305.45,111.15,814.8,1631.1,19776.0,3259.5,333.15,2702.35,900.65,144.8,1036.35,212.65,3590.95,2593.25,1514.85,7107.2,601.9,1000.15,165.2,1234.25,3112.6,2669.1
1195.7,2524.05,1535.0,928.7,1813.55,2481.1,1001.0,2091.05,8256.8,105.0,811.0,1629.45,19897.5,3252.9,334.6,2686.3,893.2,141.3,1031.7,211.85,3552.2,2617.45,1502.4,7074.0,597.1,1000.05,165.65,1237.05,3056.05,2665.1
1147.85,2502.2,1497.05,906.6,1821.95,2483.05,995.75,2062.75,8141.6,102.25,808.65,1597.65,20132.75,3228.35,326.7,2636.85,878.9,139.8,1030.6,211.25,3541.8,2621.1,1497.1,6909.4,574.0,1001.55,163.0,1224.6,3057.9,2623.05
1180.15,2577.8,1544.3,919.55,1826.05,2483.0,1015.85,2109.95,8334.35,107.65,816.6,1612.05,20306.6,3259.7,332.45,2727.7,890.65,142.25,1039.1,215.0,3600.85,2645.35,1522.05,7012.4,593.4,1010.65,165.9,1233.95,3088.55,2644.45
1201.8,2584.5,1581.8,932.3,1814.6,2489.6,1026.05,2146.3,8350.4,109.4,814.0,1617.6,20314.2,3268.55,335.15,2757.45,892.25,143.5,1040.35,216.05,3611.05,2666.2,1509.55,6950.7,593.4,1005.6,167.95,1265.7,3069.65,2656.85
1228.65,2621.8,1615.65,949.75,1847.1,2508.15,1017.95,2163.25,8524.35,110.95,828.95,1633.4,20135.55,3243.95,340.15,2772.55,909.7,145.85,1029.7,217.3,3613.6,2674.55,1507.3,7098.0,604.45,988.35,169.75,1275.25,3082.15,2700.3
1223.55,2599.3,1619.05,946.2,1858.15,2521.8,1026.7,2184.0,8603.85,111.8,840.4,1644.75,20081.65,3202.05,340.5,2780.6,906.45,145.8,1033.25,218.9,3629.75,2718.1,1507.35,7076.0,604.45,987.95,171.8,1290.65,3080.95,2710.55
1229.55,2565.6,1587.1,935.1,1840.55,2482.85,1020.8,2175.0,8485.8,111.05,822.75,1639.65,19738.7,3240.25,335.1,2724.85,902.0,147.2,1029.65,213.2,3549.6,2671.3,1522.2,7014.1,603.35,993.65,169.8,1251.6,3055.9,2667.45
1239.6,2578.35,1604.9,938.15,1863.2,2522.7,1022.75,2177.55,8584.15,110.95,826.35,1631.8,19737.85,3305.1,338.85,2770.85,908.8,147.45,1042.35,216.35,3619.3,2663.25,1540.5,7113.9,615.95,1002.2,172.1,1286.95,3130.6,2672.35
1253.15,2615.5,1623.05,942.4,1873.2,2591.1,1065.1,2195.45,8641.6,113.05,829.2,1662.25,20063.5,3365.35,345.4,2747.35,921.75,147.6,1056.2,219.2,3652.05,2684.65,1579.4,7197.55,625.5,1000.25,171.6,1286.45,3145.95,2729.35
1234.95,2625.0,1611.45,944.6,1868.5,2575.9,1045.75,2172.9,8620.7,111.2,838.05,1648.3,20388.3,3332.1,345.6,2759.45,932.95,144.35,1044.7,216.3,3636.75,2710.3,1572.15,7225.3,616.75,994.65,169.2,1283.35,3178.5,2702.6
1206.75,2613.1,1592.1,938.65,1865.75,2584.65,1032.1,2163.7,8659.75,111.7,828.4,1643.75,20487.35,3286.45,343.2,2771.45,930.3,142.35,1028.4,215.55,3596.75,2717.25,1547.2,7146.85,613.05,987.4,168.9,1264.0,3166.35,2685.75
1202.5,2609.1,1598.6,933.7,1888.05,2615.45,1035.3,2154.05,8613.35,110.45,834.9,1631.05,20241.75,3292.75,341.4,2751.5,929.9,140.7,1027.5,217.2,3616.95,2722.25,1569.3,7077.4,616.5,992.85,169.5,1265.4,3226.95,2672.1
1190.85,2649.25,1618.6,939.35,1897.0,2583.5,1074.15,2167.7,8682.7,111.85,832.6,1619.5,19805.35,3350.55,338.4,2758.2,931.9,142.65,1101.35,217.8,3636.15,2705.45,1620.15,7179.05,611.65,980.8,170.35,1274.35,3221.45,2664.8
